Nome Parlamentar;Partido;UF;Titular/Suplente/Efetivado;Endereço;Anexo;Endereço (continuação);Gabinete;Endereço (complemento);Telefone;Fax;Mês Aniversário;Dia Aniversário;Correio Eletrônico;Nome sem Acento;Tratamento;Nome Civil;PEC135/19
Celso Russomanno;REPUBLICANOS;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;960;Brasília - DF - CEP 70160-900;3215-5960;3215-2960;8;20;dep.celsorussomanno@camara.leg.br;Celso Russomanno;Exmo. Senhor Deputado;CELSO UBIRAJARA RUSSOMANNO;1
Celso Sabino;PSDB;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;236;Brasília - DF - CEP 70160-900;3215-5236;3215-2236;8;29;dep.celsosabino@camara.leg.br;Celso Sabino;Exmo. Senhor Deputado;CELSO SABINO DE OLIVEIRA;
Cezinha de Madureira;PSD;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;533;Brasília - DF - CEP 70160-900;3215-5533;3215-2533;12;12;dep.cezinhademadureira@camara.leg.br;Cezinha de Madureira;Exmo. Senhor Deputado;ANTONIO CEZAR CORREIA FREIRE;1
Charles Fernandes;PSD;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;301;Brasília - DF - CEP 70160-900;3215-5301;3215-2301;3;15;dep.charlesfernandes@camara.leg.br;Charles Fernandes;Exmo. Senhor Deputado;CHARLES FERNANDES SILVEIRA SANTANA;
Charlles Evangelista;PSL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;517;Brasília - DF - CEP 70160-900;3215-5517;3215-2517;12;27;dep.charllesevangelista@camara.leg.br;Charlles Evangelista;Exmo. Senhor Deputado;CHARLLES THOMACELLI EVANGELISTA;1
Chico D'Angelo;PDT;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;542;Brasília - DF - CEP 70160-900;3215-5542;3215-2542;2;11;dep.chicodangelo@camara.leg.br;Chico D'Angelo;Exmo. Senhor Deputado;FRANCISCO JOSÉ D'ANGELO PINTO;0
Chiquinho Brazão;AVANTE;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;507;Brasília - DF - CEP 70160-900;3215-5507;3215-2507;2;22;dep.chiquinhobrazao@camara.leg.br;Chiquinho Brazao;Exmo. Senhor Deputado;JOÃO FRANCISCO INÁCIO BRAZÃO;0
Chris Tonietto;PSL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;446;Brasília - DF - CEP 70160-900;3215-5446;3215-2446;5;14;dep.christonietto@camara.leg.br;Chris Tonietto;Exma. Senhora Deputada;CHRISTINE NOGUEIRA DOS REIS TONIETTO;1
Christiane de Souza Yared;PL;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;201;Brasília - DF - CEP 70160-900;3215-5201;3215-2201;2;23;dep.christianedesouzayared@camara.leg.br;Christiane de Souza Yared;Exma. Senhora Deputada;CHRISTIANE DE SOUZA YARED;1
Christino Aureo;PP;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;227;Brasília - DF - CEP 70160-900;3215-5227;3215-2227;4;26;dep.christinoaureo@camara.leg.br;Christino Aureo;Exmo. Senhor Deputado;CHRISTINO AUREO DA SILVA;0
Clarissa Garotinho;PROS;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;714;Brasília - DF - CEP 70160-900;3215-5714;3215-2714;7;2;dep.clarissagarotinho@camara.leg.br;Clarissa Garotinho;Exma. Senhora Deputada;CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA;1
Claudio Cajado;PP;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;630;Brasília - DF - CEP 70160-900;3215-5630;3215-2630;12;1;dep.claudiocajado@camara.leg.br;Claudio Cajado;Exmo. Senhor Deputado;CLÁUDIO CAJADO SAMPAIO;1
Cleber Verde;REPUBLICANOS;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;710;Brasília - DF - CEP 70160-900;3215-5710;3215-2710;5;10;dep.cleberverde@camara.leg.br;Cleber Verde;Exmo. Senhor Deputado;CLEBER VERDE CORDEIRO MENDES;1
Coronel Armando;PSL;SC;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;268;Brasília - DF - CEP 70160-900;3215-5268;3215-2268;6;23;dep.coronelarmando@camara.leg.br;Coronel Armando;Exmo. Senhor Deputado;LUIZ ARMANDO SCHROEDER REIS;1
Coronel Chrisóstomo;PSL;RO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;458;Brasília - DF - CEP 70160-900;3215-5458;3215-2458;6;23;dep.coronelchrisostomo@camara.leg.br;Coronel Chrisostomo;Exmo. Senhor Deputado;JOAO CHRISÓSTOMO DE MOURA;1
Coronel Tadeu;PSL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;756;Brasília - DF - CEP 70160-900;3215-5756;3215-2756;9;30;dep.coroneltadeu@camara.leg.br;Coronel Tadeu;Exmo. Senhor Deputado;MARCIO TADEU ANHAIA DE LEMOS;1
Covatti Filho;PP;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;228;Brasília - DF - CEP 70160-900;3215-5228;3215-2228;7;25;dep.covattifilho@camara.leg.br;Covatti Filho;Exmo. Senhor Deputado;LUIS ANTONIO FRANCISCATTO COVATTI;
Cristiano Vale;PL;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;822;Brasília - DF - CEP 70160-900;3215-5822;3215-2822;4;10;dep.cristianovale@camara.leg.br;Cristiano Vale;Exmo. Senhor Deputado;CRISTIANO DUTRA VALE;0
Da Vitoria;CIDADANIA;ES;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;579;Brasília - DF - CEP 70160-900;3215-5579;3215-2579;6;2;dep.davitoria@camara.leg.br;Da Vitoria;Exmo. Senhor Deputado;JOSIAS MARIO DA VITORIA;1
Dagoberto Nogueira;PDT;MS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;522;Brasília - DF - CEP 70160-900;3215-5522;3215-2522;7;21;dep.dagobertonogueira@camara.leg.br;Dagoberto Nogueira;Exmo. Senhor Deputado;DAGOBERTO NOGUEIRA FILHO;0
DaLua do Rota;PSC;AP;S;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;512;Brasília - DF - CEP 70160-900;3215-5512;3215-2512;6;7;dep.daluadorota@camara.leg.br;DaLua do Rota;Exmo. Senhor Deputado;PEDRO DOS SANTOS MARTINS;1
Damião Feliciano;PDT;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;938;Brasília - DF - CEP 70160-900;3215-5938;3215-2938;4;28;dep.damiaofeliciano@camara.leg.br;Damiao Feliciano;Exmo. Senhor Deputado;DAMIÃO FELICIANO DA SILVA;0
Daniel Almeida;PCdoB;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;317;Brasília - DF - CEP 70160-900;3215-5317;3215-2317;1;21;dep.danielalmeida@camara.leg.br;Daniel Almeida;Exmo. Senhor Deputado;DANIEL GOMES DE ALMEIDA;0
Daniel Coelho;CIDADANIA;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;813;Brasília - DF - CEP 70160-900;3215-5813;3215-2813;11;4;dep.danielcoelho@camara.leg.br;Daniel Coelho;Exmo. Senhor Deputado;DANIEL PIRES COELHO;0
Daniel Freitas;PSL;SC;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;273;Brasília - DF - CEP 70160-900;3215-5273;3215-2273;4;3;dep.danielfreitas@camara.leg.br;Daniel Freitas;Exmo. Senhor Deputado;DANIEL COSTA DE FREITAS;1
Daniel Silveira;PSL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;403;Brasília - DF - CEP 70160-900;3215-5403;3215-2403;11;25;dep.danielsilveira@camara.leg.br;Daniel Silveira;Exmo. Senhor Deputado;DANIEL LUCIO DA SILVEIRA;
Daniel Trzeciak;PSDB;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;917;Brasília - DF - CEP 70160-900;3215-5917;3215-2917;11;4;dep.danieltrzeciak@camara.leg.br;Daniel Trzeciak;Exmo. Senhor Deputado;DANIEL TRZECIAK DUARTE;1
Daniela do Waguinho;MDB;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;950;Brasília - DF - CEP 70160-900;3215-5950;3215-2950;2;10;dep.danieladowaguinho@camara.leg.br;Daniela do Waguinho;Exma. Senhora Deputada;DANIELA MOTE DE SOUZA CARNEIRO;0
Danilo Cabral;PSB;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;423;Brasília - DF - CEP 70160-900;3215-5423;3215-2423;4;21;dep.danilocabral@camara.leg.br;Danilo Cabral;Exmo. Senhor Deputado;DANILO JORGE DE BARROS CABRAL;0
Danilo Forte;PSDB;CE;E;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;219;Brasília - DF - CEP 70160-900;3215-5219;3215-2219;9;1;dep.daniloforte@camara.leg.br;Danilo Forte;Exmo. Senhor Deputado;FRANCISCO DANILO BASTOS FORTE;
Darci de Matos;PSD;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;709;Brasília - DF - CEP 70160-900;3215-5709;3215-2709;11;8;dep.darcidematos@camara.leg.br;Darci de Matos;Exmo. Senhor Deputado;DARCI DE MATOS;1
David Miranda;PSOL;RJ;E;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;267;Brasília - DF - CEP 70160-900;3215-5267;3215-2267;5;10;dep.davidmiranda@camara.leg.br;David Miranda;Exmo. Senhor Deputado;DAVID MICHAEL DOS SANTOS MIRANDA;0
David Soares;DEM;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;741;Brasília - DF - CEP 70160-900;3215-5741;3215-2741;12;21;dep.davidsoares@camara.leg.br;David Soares;Exmo. Senhor Deputado;DAVID BEZERRA RIBEIRO SOARES;1
Delegado Antônio Furtado;PSL;RJ;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;602;Brasília - DF - CEP 70160-900;3215-5602;3215-2602;1;6;dep.delegadoantoniofurtado@camara.leg.br;Delegado Antonio Furtado;Exmo. Senhor Deputado;ANTÔNIO DA LUZ FURTADO;1
Delegado Éder Mauro;PSD;PA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;586;Brasília - DF - CEP 70160-900;3215-5586;3215-2586;12;14;dep.delegadoedermauro@camara.leg.br;Delegado Eder Mauro;Exmo. Senhor Deputado;EDER MAURO CARDOSO BARRA;1
Delegado Marcelo Freitas;PSL;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;548;Brasília - DF - CEP 70160-900;3215-5548;3215-2548;3;4;dep.delegadomarcelofreitas@camara.leg.br;Delegado Marcelo Freitas;Exmo. Senhor Deputado;MARCELO EDUARDO FREITAS;1
Delegado Pablo;PSL;AM;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;373;Brasília - DF - CEP 70160-900;3215-5373;3215-2373;7;26;dep.delegadopablo@camara.leg.br;Delegado Pablo;Exmo. Senhor Deputado;PABLO OLIVA SOUZA;1
Delegado Waldir;PSL;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;645;Brasília - DF - CEP 70160-900;3215-5645;3215-2645;11;28;dep.delegadowaldir@camara.leg.br;Delegado Waldir;Exmo. Senhor Deputado;WALDIR SOARES DE OLIVEIRA;0
Diego Andrade;PSD;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;307;Brasília - DF - CEP 70160-900;3215-5307;3215-2307;8;8;dep.diegoandrade@camara.leg.br;Diego Andrade;Exmo. Senhor Deputado;DIEGO LEONARDO DE ANDRADE CARVALHO;1
Diego Garcia;PODE;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;910;Brasília - DF - CEP 70160-900;3215-5910;3215-2910;10;10;dep.diegogarcia@camara.leg.br;Diego Garcia;Exmo. Senhor Deputado;DIEGO ALEXSANDER GONCALO PAULA GARCIA;1
Dimas Fabiano;PP;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;736;Brasília - DF - CEP 70160-900;3215-5736;3215-2736;5;23;dep.dimasfabiano@camara.leg.br;Dimas Fabiano;Exmo. Senhor Deputado;DIMAS FABIANO TOLEDO JÚNIOR;1
Domingos Neto;PSD;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;546;Brasília - DF - CEP 70160-900;3215-5546;3215-2546;4;29;dep.domingosneto@camara.leg.br;Domingos Neto;Exmo. Senhor Deputado;DOMINGOS GOMES DE AGUIAR NETO;0
Domingos Sávio;PSDB;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;345;Brasília - DF - CEP 70160-900;3215-5345;3215-2345;3;25;dep.domingossavio@camara.leg.br;Domingos Savio;Exmo. Senhor Deputado;DOMINGOS SÁVIO CAMPOS RESENDE;1
Dr. Frederico;PATRIOTA;MG;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;568;Brasília - DF - CEP 70160-900;3215-5568;3215-2568;3;24;dep.dr.frederico@camara.leg.br;Dr. Frederico;Exmo. Senhor Deputado;FREDERICO DE CASTRO ESCALEIRA;1
Dr. Jaziel;PL;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;705;Brasília - DF - CEP 70160-900;3215-5705;3215-2705;5;3;dep.dr.jaziel@camara.leg.br;Dr. Jaziel;Exmo. Senhor Deputado;JAZIEL PEREIRA DE SOUSA;1
Dr. Leonardo;SOLIDARIEDADE;MT;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;445;Brasília - DF - CEP 70160-900;3215-5445;3215-2445;6;14;dep.dr.leonardo@camara.leg.br;Dr. Leonardo;Exmo. Senhor Deputado;LEONARDO RIBEIRO ALBUQUERQUE;
Dr. Luiz Antonio Teixeira Jr.;PP;RJ;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;577;Brasília - DF - CEP 70160-900;3215-5577;3215-2577;12;15;dep.dr.luizantonioteixeirajr@camara.leg.br;Dr. Luiz Antonio Teixeira Jr.;Exmo. Senhor Deputado;LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR;0
Dr. Luiz Ovando;PSL;MS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;644;Brasília - DF - CEP 70160-900;3215-5644;3215-2644;9;25;dep.dr.luizovando@camara.leg.br;Dr. Luiz Ovando;Exmo. Senhor Deputado;LUIZ ALBERTO OVANDO;1
Dr. Zacharias Calil;DEM;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;616;Brasília - DF - CEP 70160-900;3215-5616;3215-2616;11;5;dep.dr.zachariascalil@camara.leg.br;Dr. Zacharias Calil;Exmo. Senhor Deputado;ZACARIAS CALIL HAMU;1
Dra. Soraya Manato;PSL;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;313;Brasília - DF - CEP 70160-900;3215-5313;3215-2313;3;10;dep.dra.sorayamanato@camara.leg.br;Dra. Soraya Manato;Exma. Senhora Deputada;SORAYA DE SOUZA MANNATO;1
Dra. Vanda Milani;SOLIDARIEDADE;AC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;516;Brasília - DF - CEP 70160-900;3215-5516;3215-2516;9;17;dep.dra.vandamilani@camara.leg.br;Dra. Vanda Milani;Exma. Senhora Deputada;VANDA DENIR MILANI NOGUEIRA;1
Dulce Miranda;MDB;TO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;530;Brasília - DF - CEP 70160-900;3215-5530;3215-2530;12;15;dep.dulcemiranda@camara.leg.br;Dulce Miranda;Exma. Senhora Deputada;DULCE FERREIRA PAGANI MIRANDA;0
Edilázio Júnior;PSD;MA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;862;Brasília - DF - CEP 70160-900;3215-5862;3215-2862;5;4;dep.edilaziojunior@camara.leg.br;Edilazio Junior;Exmo. Senhor Deputado;EDILAZIO GOMES DA SILVA JUNIOR;0
Edio Lopes;PL;RR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;408;Brasília - DF - CEP 70160-900;3215-5408;3215-2408;1;4;dep.ediolopes@camara.leg.br;Edio Lopes;Exmo. Senhor Deputado;ÉDIO VIEIRA LOPES;0
Edna Henrique;PSDB;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;962;Brasília - DF - CEP 70160-900;3215-5962;3215-2962;9;4;dep.ednahenrique@camara.leg.br;Edna Henrique;Exma. Senhora Deputada;EDNACE ALVES SILVESTRE HENRIQUE;1
Eduardo Barbosa;PSDB;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;540;Brasília - DF - CEP 70160-900;3215-5540;3215-2540;8;25;dep.eduardobarbosa@camara.leg.br;Eduardo Barbosa;Exmo. Senhor Deputado;EDUARDO LUIZ BARROS BARBOSA;0
Eduardo Bismarck;PDT;CE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;652;Brasília - DF - CEP 70160-900;3215-5652;3215-2652;11;14;dep.eduardobismarck@camara.leg.br;Eduardo Bismarck;Exmo. Senhor Deputado;EDUARDO HENRIQUE MAIA BISMARCK;0
Eduardo Bolsonaro;PSL;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;350;Brasília - DF - CEP 70160-900;3215-5350;3215-2350;7;10;dep.eduardobolsonaro@camara.leg.br;Eduardo Bolsonaro;Exmo. Senhor Deputado;EDUARDO NANTES BOLSONARO;1
Eduardo Costa;PTB;PA;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;286;Brasília - DF - CEP 70160-900;3215-5286;3215-2286;2;16;dep.eduardocosta@camara.leg.br;Eduardo Costa;Exmo. Senhor Deputado;JOSE EDUARDO PEREIRA DA COSTA;1
Eduardo Cury;PSDB;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;368;Brasília - DF - CEP 70160-900;3215-5368;3215-2368;9;19;dep.eduardocury@camara.leg.br;Eduardo Cury;Exmo. Senhor Deputado;EDUARDO PEDROSA CURY;0
Eduardo da Fonte;PP;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;628;Brasília - DF - CEP 70160-900;3215-5628;3215-2628;10;17;dep.eduardodafonte@camara.leg.br;Eduardo da Fonte;Exmo. Senhor Deputado;EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA;0
Efraim Filho;DEM;PB;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;744;Brasília - DF - CEP 70160-900;3215-5744;3215-2744;3;18;dep.efraimfilho@camara.leg.br;Efraim Filho;Exmo. Senhor Deputado;EFRAIM DE ARAÚJO MORAIS FILHO;
Elcione Barbalho;MDB;PA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;206;Brasília - DF - CEP 70160-900;3215-5206;3215-2206;10;5;dep.elcionebarbalho@camara.leg.br;Elcione Barbalho;Exma. Senhora Deputada;ELCIONE THEREZINHA ZAHLUTH BARBALHO;
Eli Borges;SOLIDARIEDADE;TO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;248;Brasília - DF - CEP 70160-900;3215-5248;3215-2248;9;1;dep.eliborges@camara.leg.br;Eli Borges;Exmo. Senhor Deputado;ELI DIAS BORGES;1
Eli Corrêa Filho;DEM;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;850;Brasília - DF - CEP 70160-900;3215-5850;3215-2850;1;13;dep.elicorreafilho@camara.leg.br;Eli Correa Filho;Exmo. Senhor Deputado;ADRIANO ELI CORRÊA;0
Elias Vaz;PSB;GO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;303;Brasília - DF - CEP 70160-900;3215-5303;3215-2303;7;4;dep.eliasvaz@camara.leg.br;Elias Vaz;Exmo. Senhor Deputado;ELIAS VAZ DE ANDRADE;0
Elmar Nascimento;DEM;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;935;Brasília - DF - CEP 70160-900;3215-5935;3215-2935;7;6;dep.elmarnascimento@camara.leg.br;Elmar Nascimento;Exmo. Senhor Deputado;ELMAR JOSE VIEIRA NASCIMENTO;
Emanuel Pinheiro Neto;PTB;MT;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;374;Brasília - DF - CEP 70160-900;3215-5374;3215-2374;1;5;dep.emanuelpinheironeto@camara.leg.br;Emanuel Pinheiro Neto;Exmo. Senhor Deputado;EMANUEL PINHEIRO DA SILVA PRIMO;1
Emidinho Madeira;PSB;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;837;Brasília - DF - CEP 70160-900;3215-5837;3215-2837;3;10;dep.emidinhomadeira@camara.leg.br;Emidinho Madeira;Exmo. Senhor Deputado;EMIDIO ALVES MADEIRA JUNIOR;1
Enio Verri;PT;PR;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;627;Brasília - DF - CEP 70160-900;3215-5627;3215-2627;3;27;dep.enioverri@camara.leg.br;Enio Verri;Exmo. Senhor Deputado;ENIO JOSÉ VERRI;0
Enrico Misasi;PV;SP;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;574;Brasília - DF - CEP 70160-900;3215-5574;3215-2574;8;6;dep.enricomisasi@camara.leg.br;Enrico Misasi;Exmo. Senhor Deputado;ENRICO VAN BLARCUM DE GRAAFF MISASI;1
Erika Kokay;PT;DF;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;203;Brasília - DF - CEP 70160-900;3215-5203;3215-2203;8;15;dep.erikakokay@camara.leg.br;Erika Kokay;Exma. Senhora Deputada;ÉRIKA JUCÁ KOKAY;0
Eros Biondini;PROS;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;321;Brasília - DF - CEP 70160-900;3215-5321;3215-2321;5;20;dep.erosbiondini@camara.leg.br;Eros Biondini;Exmo. Senhor Deputado;EROS FERREIRA BIONDINI;1
Euclydes Pettersen;PSC;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;456;Brasília - DF - CEP 70160-900;3215-5456;3215-2456;8;15;dep.euclydespettersen@camara.leg.br;Euclydes Pettersen;Exmo. Senhor Deputado;EUCLYDES MARCOS PETTERSEN NETO;1
Evair Vieira de Melo;PP;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;443;Brasília - DF - CEP 70160-900;3215-5443;3215-2443;4;2;dep.evairvieirademelo@camara.leg.br;Evair Vieira de Melo;Exmo. Senhor Deputado;EVAIR VIEIRA DE MELO;1
Expedito Netto;PSD;RO;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;943;Brasília - DF - CEP 70160-900;3215-5943;3215-2943;10;5;dep.expeditonetto@camara.leg.br;Expedito Netto;Exmo. Senhor Deputado;EXPEDITO GONCALVES FERREIRA NETTO;1
Fábio Henrique;PDT;SE;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;475;Brasília - DF - CEP 70160-900;3215-5475;3215-2475;6;19;dep.fabiohenrique@camara.leg.br;Fabio Henrique;Exmo. Senhor Deputado;FABIO HENRIQUE SANTANA DE CARVALHO;0
Fábio Mitidieri;PSD;SE;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;278;Brasília - DF - CEP 70160-900;3215-5278;3215-2278;2;24;dep.fabiomitidieri@camara.leg.br;Fabio Mitidieri;Exmo. Senhor Deputado;FABIO CRUZ MITIDIERI;
Fábio Ramalho;MDB;MG;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;826;Brasília - DF - CEP 70160-900;3215-5826;3215-2826;12;22;dep.fabioramalho@camara.leg.br;Fabio Ramalho;Exmo. Senhor Deputado;FÁBIO AUGUSTO RAMALHO DOS SANTOS;
Fabio Reis;MDB;SE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;410;Brasília - DF - CEP 70160-900;3215-5410;3215-2410;4;15;dep.fabioreis@camara.leg.br;Fabio Reis;Exmo. Senhor Deputado;FABIO DE ALMEIDA REIS;1
Fabio Schiochet;PSL;SC;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;758;Brasília - DF - CEP 70160-900;3215-5758;3215-2758;5;31;dep.fabioschiochet@camara.leg.br;Fabio Schiochet;Exmo. Senhor Deputado;FÁBIO LUIZ SCHIOCHET FILHO;1
Fábio Trad;PSD;MS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;452;Brasília - DF - CEP 70160-900;3215-5452;3215-2452;8;18;dep.fabiotrad@camara.leg.br;Fabio Trad;Exmo. Senhor Deputado;FÁBIO RICARDO TRAD;0
Fausto Pinato;PP;SP;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;562;Brasília - DF - CEP 70160-900;3215-5562;3215-2562;6;1;dep.faustopinato@camara.leg.br;Fausto Pinato;Exmo. Senhor Deputado;FAUSTO RUY PINATO;0
Felício Laterça;PSL;RJ;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;275;Brasília - DF - CEP 70160-900;3215-5275;3215-2275;5;26;dep.feliciolaterca@camara.leg.br;Felicio Laterca;Exmo. Senhor Deputado;FELÍCIO LATERÇA DE ALMEIDA;1
Felipe Carreras;PSB;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;318;Brasília - DF - CEP 70160-900;3215-5318;3215-2318;4;16;dep.felipecarreras@camara.leg.br;Felipe Carreras;Exmo. Senhor Deputado;FELIPE AUGUSTO LYRA CARRERAS;0
Felipe Francischini;PSL;PR;T;Câmara dos Deputados, Edifício Anexo;3;, gabinete nº;265;Brasília - DF - CEP 70160-900;3215-5265;3215-2265;10;2;dep.felipefrancischini@camara.leg.br;Felipe Francischini;Exmo. Senhor Deputado;LUIS FELIPE BONATTO FRANCISCHINI;1
Felipe Rigoni;PSB;ES;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;846;Brasília - DF - CEP 70160-900;3215-5846;3215-2846;6;13;dep.feliperigoni@camara.leg.br;Felipe Rigoni;Exmo. Senhor Deputado;FELIPE RIGONI LOPES;0
Félix Mendonça Júnior;PDT;BA;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;912;Brasília - DF - CEP 70160-900;3215-5912;3215-2912;11;29;dep.felixmendoncajunior@camara.leg.br;Felix Mendonca Junior;Exmo. Senhor Deputado;FELIX DE ALMEIDA MENDONÇA JÚNIOR;0
Fernanda Melchionna;PSOL;RS;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;621;Brasília - DF - CEP 70160-900;3215-5621;3215-2621;2;2;dep.fernandamelchionna@camara.leg.br;Fernanda Melchionna;Exma. Senhora Deputada;FERNANDA MELCHIONNA E SILVA;0
Fernando Coelho Filho;DEM;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;662;Brasília - DF - CEP 70160-900;3215-5662;3215-2662;2;28;dep.fernandocoelhofilho@camara.leg.br;Fernando Coelho Filho;Exmo. Senhor Deputado;FERNANDO BEZERRA DE SOUZA COELHO FILHO;0
Fernando Monteiro;PP;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;243;Brasília - DF - CEP 70160-900;3215-5243;3215-2243;9;17;dep.fernandomonteiro@camara.leg.br;Fernando Monteiro;Exmo. Senhor Deputado;FERNANDO MONTEIRO DE ALBUQUERQUE;0
Fernando Rodolfo;PL;PE;T;Câmara dos Deputados, Edifício Anexo;4;, gabinete nº;554;Brasília - DF - CEP 70160-900;3215-5554;3215-2554;11;17;dep.fernandorodolfo@camara.leg.br;Fernando Rodolfo;Exmo. Senhor Deputado;FERNANDO RODOLFO TENORIO DE VASCONCELOS;
